VentaID,Fecha,ClienteID,NombreCliente,Zona,ProductoID,Producto,Categoria,Cantidad,PrecioUnitario,TotalVenta
1,,5,Laura Sánchez,,1,Pan Francés,Panes,2,1.50,3.00
2,2024-07-18,8,Miguel Flores,Centro,9,Baguette,Panes  ,,2.50,15.00
3,2024-03-02,2,Carlos López,Sur,5,Donas,Panes,6,2.00,12.00
4,2023-06-04,8,Miguel Flores,Centro,6,Pan Integral,Panes,2,2.00,4.00
5,2023-04-28,2,Carlos López,Sur  ,8,Tarta Manzana,Pasteles,8,,96.00
6,2023-01-21,6,Pedro Ramírez,Norte,5,Donas,Panes,10,2.00,20.00
7,2024-08-27,7,Sofia Torres,Sur  ,4,Galletas Avena,Galletas,5,3.00,15.00
8,2023-06-09,6,Pedro Ramírez,Norte,,Muffin Arándanos,Pasteles,4,3.50,14.00
9,2024-05-16,,Pedro Ramírez,Norte,4,Galletas Avena,Galletas,10,,30.00
10,2024-03-27,1,María González  ,Norte,10,Empanada  ,Salados,9,3.00,27.00
11,2023-07-28,8,Miguel Flores,Centro,,Tarta Manzana,Pasteles,10,12.00,120.00
12,2024-07-17,,José Gómez,Oeste,7,Muffin Arándanos,Pasteles,,,24.50
13,2024-05-13,7,Sofia Torres,Sur,10,,Salados,5,3.00,15.00
14,2023-10-21,,,Norte,7,Muffin Arándanos,,,3.50,24.50
15,2023-12-18,,Sofia Torres,Sur,2,Croissant,Panes  ,9,2.50,22.50
16,2023-08-14,7,Sofia Torres,Sur,10,,Salados,7,3.00,21.00
17,2023-10-27,9,Carmen Rivera,Este,4,Galletas Avena,Galletas,3,3.00,9.00
18,,10,José Gómez,Oeste,10,Empanada,,10,3.00,30.00
19,2023-01-12,6,Pedro Ramírez,Norte,8,Tarta Manzana,,,12.00,108.00
20,2023-07-17,5,Laura Sánchez,Oeste,9,Baguette,Panes,3,2.50,7.50
21,,10,José Gómez,Oeste,6,Pan Integral,Panes,6,2.00,12.00
22,2023-10-16,5,Laura Sánchez,Oeste,6,Pan Integral,Panes,9,2.00,18.00
